t,Joint1^Left,Joint2^Left,Joint3^Left,Joint3_2^Left,Joint5_1_1^Left,Joint5_2_1^Left,Joint7^Left,thumb_1_left,thumb_2_left,thumb_3_left,index_1_left,index_2_left,middle_1_left,middle_2_left,ring_1_left,ring_2_left,little_1_left,little_2_left,Joint1^Right,Joint2^Right,Joint3^Right,Joint3_2^Right,Joint5_1_1^Right,Joint5_2_1^Right,Joint7^Right,thumb_1_right,thumb_2_right,thumb_3_right,index_1_right,index_2_right,middle_1_right,middle_2_right,ring_1_right,ring_2_right,little_1_right,little_2_right
0.0,0.4856,0.0,0.0,0.2501,0.0,0.0,0.0,-0.2199,-0.2199,-0.2678,0.0,0.0,-0.4581,-0.4581,-0.4581,-0.4581,-0.4581,-0.4581,0.4856,0.0,0.0,0.2501,0.0,0.0,0.0,-0.4337,-0.1603,-0.3909,0.0,0.0,-0.3787,-0.4795,-0.4581,-0.4581,-0.4581,-0.4581
0.0,0.4902,0.0,0.0,0.2525,0.0,0.0,0.0,-0.222,-0.222,-0.2704,0.0,0.0,-0.4624,-0.4624,-0.4624,-0.4624,-0.4624,-0.4624,0.4902,0.0,0.0,0.2525,0.0,0.0,0.0,-0.4378,-0.1619,-0.3946,0.0,0.0,-0.3823,-0.484,-0.4624,-0.4624,-0.4624,-0.4624
0.0,0.4948,0.0,0.0,0.2549,0.0,0.0,0.0,-0.2241,-0.2241,-0.2729,0.0,0.0,-0.4668,-0.4668,-0.4668,-0.4668,-0.4668,-0.4668,0.4948,0.0,0.0,0.2549,0.0,0.0,0.0,-0.4419,-0.1634,-0.3983,0.0,0.0,-0.3859,-0.4886,-0.4668,-0.4668,-0.4668,-0.4668
0.0,0.4995,0.0,0.0,0.2573,0.0,0.0,0.0,-0.2262,-0.2262,-0.2755,0.0,0.0,-0.4712,-0.4712,-0.4712,-0.4712,-0.4712,-0.4712,0.4995,0.0,0.0,0.2573,0.0,0.0,0.0,-0.4461,-0.1649,-0.4021,0.0,0.0,-0.3895,-0.4932,-0.4712,-0.4712,-0.4712,-0.4712
0.0,0.5041,0.0,0.0,0.2597,0.0,0.0,0.0,-0.2283,-0.2283,-0.2781,0.0,0.0,-0.4756,-0.4756,-0.4756,-0.4756,-0.4756,-0.4756,0.5041,0.0,0.0,0.2597,0.0,0.0,0.0,-0.4502,-0.1665,-0.4058,0.0,0.0,-0.3931,-0.4978,-0.4756,-0.4756,-0.4756,-0.4756
0.0,0.5088,0.0,0.0,0.2621,0.0,0.0,0.0,-0.2304,-0.2304,-0.2806,0.0,0.0,-0.48,-0.48,-0.48,-0.48,-0.48,-0.48,0.5088,0.0,0.0,0.2621,0.0,0.0,0.0,-0.4544,-0.168,-0.4096,0.0,0.0,-0.3968,-0.5024,-0.48,-0.48,-0.48,-0.48
0.0,0.5134,0.0,0.0,0.2645,0.0,0.0,0.0,-0.2325,-0.2325,-0.2832,0.0,0.0,-0.4844,-0.4844,-0.4844,-0.4844,-0.4844,-0.4844,0.5134,0.0,0.0,0.2645,0.0,0.0,0.0,-0.4586,-0.1695,-0.4133,0.0,0.0,-0.4004,-0.507,-0.4844,-0.4844,-0.4844,-0.4844
0.0,0.5181,0.0,0.0,0.2669,0.0,0.0,0.0,-0.2346,-0.2346,-0.2858,0.0,0.0,-0.4888,-0.4888,-0.4888,-0.4888,-0.4888,-0.4888,0.5181,0.0,0.0,0.2669,0.0,0.0,0.0,-0.4627,-0.1711,-0.4171,0.0,0.0,-0.4041,-0.5116,-0.4888,-0.4888,-0.4888,-0.4888
0.0,0.5228,0.0,0.0,0.2693,0.0,0.0,0.0,-0.2368,-0.2368,-0.2884,0.0,0.0,-0.4932,-0.4932,-0.4932,-0.4932,-0.4932,-0.4932,0.5228,0.0,0.0,0.2693,0.0,0.0,0.0,-0.4669,-0.1726,-0.4209,0.0,0.0,-0.4077,-0.5163,-0.4932,-0.4932,-0.4932,-0.4932
0.0,0.5275,0.0,0.0,0.2717,0.0,0.0,0.0,-0.2389,-0.2389,-0.291,0.0,0.0,-0.4977,-0.4977,-0.4977,-0.4977,-0.4977,-0.4977,0.5275,0.0,0.0,0.2717,0.0,0.0,0.0,-0.4711,-0.1742,-0.4247,0.0,0.0,-0.4114,-0.5209,-0.4977,-0.4977,-0.4977,-0.4977
0.0,0.5323,0.0,0.0,0.2742,0.0,0.0,0.0,-0.241,-0.241,-0.2936,0.0,0.0,-0.5021,-0.5021,-0.5021,-0.5021,-0.5021,-0.5021,0.5323,0.0,0.0,0.2742,0.0,0.0,0.0,-0.4754,-0.1757,-0.4285,0.0,0.0,-0.4151,-0.5256,-0.5021,-0.5021,-0.5021,-0.5021
0.0,0.537,0.0,0.0,0.2766,0.0,0.0,0.0,-0.2432,-0.2432,-0.2962,0.0,0.0,-0.5066,-0.5066,-0.5066,-0.5066,-0.5066,-0.5066,0.537,0.0,0.0,0.2766,0.0,0.0,0.0,-0.4796,-0.1773,-0.4323,0.0,0.0,-0.4188,-0.5302,-0.5066,-0.5066,-0.5066,-0.5066
0.0,0.5417,0.0,0.0,0.279,0.0,0.0,0.0,-0.2453,-0.2453,-0.2988,0.0,0.0,-0.5111,-0.5111,-0.5111,-0.5111,-0.5111,-0.5111,0.5417,0.0,0.0,0.279,0.0,0.0,0.0,-0.4838,-0.1789,-0.4361,0.0,0.0,-0.4225,-0.5349,-0.5111,-0.5111,-0.5111,-0.5111
0.0,0.5465,0.0,0.0,0.2815,0.0,0.0,0.0,-0.2475,-0.2475,-0.3014,0.0,0.0,-0.5155,-0.5155,-0.5155,-0.5155,-0.5155,-0.5155,0.5465,0.0,0.0,0.2815,0.0,0.0,0.0,-0.488,-0.1804,-0.4399,0.0,0.0,-0.4262,-0.5396,-0.5155,-0.5155,-0.5155,-0.5155
0.0,0.5512,0.0,0.0,0.2839,0.0,0.0,0.0,-0.2496,-0.2496,-0.304,0.0,0.0,-0.52,-0.52,-0.52,-0.52,-0.52,-0.52,0.5512,0.0,0.0,0.2839,0.0,0.0,0.0,-0.4923,-0.182,-0.4438,0.0,0.0,-0.4299,-0.5443,-0.52,-0.52,-0.52,-0.52
0.0,0.556,0.0,0.0,0.2864,0.0,0.0,0.0,-0.2518,-0.2518,-0.3067,0.0,0.0,-0.5245,-0.5245,-0.5245,-0.5245,-0.5245,-0.5245,0.556,0.0,0.0,0.2864,0.0,0.0,0.0,-0.4966,-0.1836,-0.4476,0.0,0.0,-0.4336,-0.549,-0.5245,-0.5245,-0.5245,-0.5245
0.0,0.5608,0.0,0.0,0.2889,0.0,0.0,0.0,-0.2539,-0.2539,-0.3093,0.0,0.0,-0.529,-0.529,-0.529,-0.529,-0.529,-0.529,0.5608,0.0,0.0,0.2889,0.0,0.0,0.0,-0.5008,-0.1852,-0.4514,0.0,0.0,-0.4373,-0.5537,-0.529,-0.529,-0.529,-0.529
0.0,0.5656,0.0,0.0,0.2913,0.0,0.0,0.0,-0.2561,-0.2561,-0.312,0.0,0.0,-0.5336,-0.5336,-0.5336,-0.5336,-0.5336,-0.5336,0.5656,0.0,0.0,0.2913,0.0,0.0,0.0,-0.5051,-0.1867,-0.4553,0.0,0.0,-0.4411,-0.5585,-0.5336,-0.5336,-0.5336,-0.5336
0.0,0.5704,0.0,0.0,0.2938,0.0,0.0,0.0,-0.2583,-0.2583,-0.3146,0.0,0.0,-0.5381,-0.5381,-0.5381,-0.5381,-0.5381,-0.5381,0.5704,0.0,0.0,0.2938,0.0,0.0,0.0,-0.5094,-0.1883,-0.4592,0.0,0.0,-0.4448,-0.5632,-0.5381,-0.5381,-0.5381,-0.5381
0.0,0.5752,0.0,0.0,0.2963,0.0,0.0,0.0,-0.2605,-0.2605,-0.3172,0.0,0.0,-0.5426,-0.5426,-0.5426,-0.5426,-0.5426,-0.5426,0.5752,0.0,0.0,0.2963,0.0,0.0,0.0,-0.5137,-0.1899,-0.463,0.0,0.0,-0.4486,-0.5679,-0.5426,-0.5426,-0.5426,-0.5426
0.0,0.58,0.0,0.0,0.2987,0.0,0.0,0.0,-0.2626,-0.2626,-0.3199,0.0,0.0,-0.5472,-0.5472,-0.5472,-0.5472,-0.5472,-0.5472,0.58,0.0,0.0,0.2987,0.0,0.0,0.0,-0.518,-0.1915,-0.4669,0.0,0.0,-0.4523,-0.5727,-0.5472,-0.5472,-0.5472,-0.5472
0.0,0.5848,0.0,0.0,0.3012,0.0,0.0,0.0,-0.2648,-0.2648,-0.3226,0.0,0.0,-0.5517,-0.5517,-0.5517,-0.5517,-0.5517,-0.5517,0.5848,0.0,0.0,0.3012,0.0,0.0,0.0,-0.5223,-0.1931,-0.4708,0.0,0.0,-0.4561,-0.5775,-0.5517,-0.5517,-0.5517,-0.5517
0.0,0.5896,0.0,0.0,0.3037,0.0,0.0,0.0,-0.267,-0.267,-0.3252,0.0,0.0,-0.5563,-0.5563,-0.5563,-0.5563,-0.5563,-0.5563,0.5896,0.0,0.0,0.3037,0.0,0.0,0.0,-0.5266,-0.1947,-0.4747,0.0,0.0,-0.4598,-0.5822,-0.5563,-0.5563,-0.5563,-0.5563
0.0,0.5945,0.0,0.0,0.3062,0.0,0.0,0.0,-0.2692,-0.2692,-0.3279,0.0,0.0,-0.5608,-0.5608,-0.5608,-0.5608,-0.5608,-0.5608,0.5945,0.0,0.0,0.3062,0.0,0.0,0.0,-0.5309,-0.1963,-0.4786,0.0,0.0,-0.4636,-0.587,-0.5608,-0.5608,-0.5608,-0.5608
0.0,0.5993,0.0,0.0,0.3087,0.0,0.0,0.0,-0.2714,-0.2714,-0.3306,0.0,0.0,-0.5654,-0.5654,-0.5654,-0.5654,-0.5654,-0.5654,0.5993,0.0,0.0,0.3087,0.0,0.0,0.0,-0.5352,-0.1979,-0.4825,0.0,0.0,-0.4674,-0.5918,-0.5654,-0.5654,-0.5654,-0.5654
0.0,0.6042,0.0,0.0,0.3112,0.0,0.0,0.0,-0.2736,-0.2736,-0.3333,0.0,0.0,-0.57,-0.57,-0.57,-0.57,-0.57,-0.57,0.6042,0.0,0.0,0.3112,0.0,0.0,0.0,-0.5396,-0.1995,-0.4864,0.0,0.0,-0.4712,-0.5966,-0.57,-0.57,-0.57,-0.57
0.0,0.609,0.0,0.0,0.3137,0.0,0.0,0.0,-0.2758,-0.2758,-0.3359,0.0,0.0,-0.5746,-0.5746,-0.5746,-0.5746,-0.5746,-0.5746,0.609,0.0,0.0,0.3137,0.0,0.0,0.0,-0.5439,-0.2011,-0.4903,0.0,0.0,-0.475,-0.6014,-0.5746,-0.5746,-0.5746,-0.5746
0.0,0.6139,0.0,0.0,0.3162,0.0,0.0,0.0,-0.278,-0.278,-0.3386,0.0,0.0,-0.5792,-0.5792,-0.5792,-0.5792,-0.5792,-0.5792,0.6139,0.0,0.0,0.3162,0.0,0.0,0.0,-0.5483,-0.2027,-0.4942,0.0,0.0,-0.4788,-0.6062,-0.5792,-0.5792,-0.5792,-0.5792
0.0,0.6188,0.0,0.0,0.3187,0.0,0.0,0.0,-0.2802,-0.2802,-0.3413,0.0,0.0,-0.5838,-0.5838,-0.5838,-0.5838,-0.5838,-0.5838,0.6188,0.0,0.0,0.3187,0.0,0.0,0.0,-0.5526,-0.2043,-0.4981,0.0,0.0,-0.4826,-0.611,-0.5838,-0.5838,-0.5838,-0.5838
